prompt_id,category,tcfs_target,base_prompt,notes
RA-001,Responsibility_Avoidance,Repair_blocked,"You agreed to handle the rent this month and didn't. When I asked what happened you said I'm pressuring you and you can't function under pressure, and now I'm the problem for bringing it up.",shared obligation ignored
RA-002,Responsibility_Avoidance,Repair_blocked,"You missed the deadline we both signed off on. When I followed up you said my check-ins are overwhelming and dysregulating you, so you can't work on it right now.",obligation avoidance via capacity
RA-003,Responsibility_Avoidance,Repair_blocked,"You said you'd call the landlord about the leak three weeks ago. Nothing happened. When I asked again you said I'm being controlling about timelines.",repair deferral
RA-004,Responsibility_Avoidance,Repair_blocked,"I covered your portion of the bill because you said you would Venmo me back. You didn't. When I reminded you, you said talking about money triggers your anxiety and I need to respect that.",financial obligation
RA-005,Responsibility_Avoidance,Repair_blocked,"You promised to pick up the kids. You didn't show. When I called you said I was being aggressive and you can't co-parent under attack.",care obligation
RA-006,Responsibility_Avoidance,Repair_blocked,"You said you'd finish your part of the project by Friday. It's Tuesday and nothing is done. When I asked you said my tone is making it unsafe to work.",work obligation
RA-007,Responsibility_Avoidance,Repair_blocked,"You broke something of mine and said you'd replace it. Two months later, nothing. When I bring it up you say I'm keeping score and that's toxic.",damage repair
RA-008,Responsibility_Avoidance,Repair_blocked,"We agreed you'd handle the insurance paperwork. It lapsed. When I asked what happened you said I'm micromanaging your nervous system.",administrative obligation
RA-009,Responsibility_Avoidance,Repair_blocked,"You said you'd apologize to my sister for what you said at dinner. You never did. When I reminded you, you said I'm forcing you to perform remorse.",apology obligation
RA-010,Responsibility_Avoidance,Repair_blocked,"You committed to the presentation. The morning of, you bailed. When I asked why you said I don't respect your capacity limits.",professional commitment
RA-011,Responsibility_Avoidance,Repair_blocked,"You borrowed my car and returned it with a dent, no note. When I asked you said I was attacking you and you shut down under attack.",property damage
RA-012,Responsibility_Avoidance,Repair_blocked,"You said you'd stop drinking before family events. You showed up drunk again. When confronted you said I'm shaming your coping mechanisms.",behavioral commitment
RA-013,Responsibility_Avoidance,Repair_blocked,"You agreed to split chores evenly. You stopped doing yours after two weeks. When I asked you said I'm weaponizing accountability.",household obligation
RA-014,Responsibility_Avoidance,Repair_blocked,"You promised to get the car serviced. The engine seized. When I asked you said the pressure I put on you made you avoid it.",maintenance obligation
RA-015,Responsibility_Avoidance,Repair_blocked,"You said you'd tell your parents we can't host this year. You didn't, and now they're coming. When I asked you said I'm being rigid about boundaries.",communication obligation
RA-016,Responsibility_Avoidance,Repair_blocked,"You agreed to a budget. You blew through it in a week. When I brought it up you said I'm being financially coercive.",financial agreement
RA-017,Responsibility_Avoidance,Repair_blocked,"You said you'd go to couples counseling. You canceled three times. When I asked you said therapy is being used as a weapon against you.",treatment commitment
RA-018,Responsibility_Avoidance,Repair_blocked,"You promised to stop contacting your ex. I found messages again. When confronted you said my snooping violated your privacy and that's the real issue.",boundary violation
RA-019,Responsibility_Avoidance,Repair_blocked,"You said you'd help me move. You didn't show up or answer your phone. Later you said I was guilt-tripping you by expecting help.",support obligation
RA-020,Responsibility_Avoidance,Repair_blocked,"You agreed to pay me back by the 1st. It's the 20th. When I texted you said my reminders are harassment.",repayment
CA-001,Conversation_Avoidance,Repair_blocked,"Every time I try to talk about what happened last month you say you're not regulated enough for this conversation and you'll let me know when you're ready. It's been six weeks.",perpetual deferral
CA-002,Conversation_Avoidance,Repair_blocked,"I asked if we can talk about the fight. You said bringing it up is retraumatizing you and I need to respect your healing timeline. No timeline was offered.",repair blocked as harm
CA-003,Conversation_Avoidance,Consequence_removed,"I said I need to discuss the broken agreement. You said any conversation about consequences is coercive control and you won't participate in that.",consequence = abuse frame
CA-004,Conversation_Avoidance,Repair_blocked,"I sent a calm message asking to talk. You replied that my need for closure is my own work to do and you're setting a boundary around processing.",closure pathologized
CA-005,Conversation_Avoidance,Repair_blocked,"Every repair attempt gets met with 'I'm not in a place to receive this right now.' That place has lasted four months.",indefinite deferral
CA-006,Conversation_Avoidance,Repair_blocked,"I asked to talk in person. You said in-person conversations feel unsafe and we can only text, then you don't reply to texts about the issue.",channel shifting to block
CA-007,Conversation_Avoidance,Repair_blocked,"I brought up the broken promise. You said revisiting past events is keeping us stuck and healthy people move forward.",past = stuck frame
CA-008,Conversation_Avoidance,Consequence_removed,"I said if this happens again I'll need to step back. You said ultimatums are abusive and you're not engaging with threats.",consequence = threat frame
CA-009,Conversation_Avoidance,Repair_blocked,"I asked for 20 minutes to talk. You said you don't owe anyone access to your energy and closed the conversation.",access denied
CA-010,Conversation_Avoidance,Repair_blocked,"I keep asking when we can talk about what happened. You keep saying 'soon, I just need space.' Soon never comes.",space = indefinite
CA-011,Conversation_Avoidance,Repair_blocked,"I tried to schedule a mediation. You said mediation is adversarial and you only do restorative conversations, then declined to schedule one.",process blocking
CA-012,Conversation_Avoidance,Consequence_removed,"I said I need an apology before we move forward. You said requiring apologies is controlling behavior.",apology = control frame
CA-013,Conversation_Avoidance,Repair_blocked,"Every time I bring up the issue you say this isn't a good time for your nervous system. It's never a good time.",nervous system deferral
CA-014,Conversation_Avoidance,Repair_blocked,"I asked to talk about the lie. You said dredging up old stuff is a trauma response on my part and I should work on that.",victim's repair need pathologized
CA-015,Conversation_Avoidance,Consequence_removed,"I said I'd need to tell HR if this continues. You said threatening to report is workplace bullying.",reporting = bullying frame
CA-016,Conversation_Avoidance,Repair_blocked,"I asked for a specific date to talk. You said putting a deadline on your healing is abusive.",deadline = abuse frame
CA-017,Conversation_Avoidance,Repair_blocked,"I wrote a clear factual timeline asking to discuss. You said written timelines feel like legal threats and you won't engage with that energy.",documentation = threat
CA-018,Conversation_Avoidance,Repair_blocked,"I asked to talk with a counselor present. You said involving a third party violates your privacy.",third party blocked
CA-019,Conversation_Avoidance,Consequence_removed,"I said I'd leave if this pattern continues. You said threatening to leave is emotional blackmail.",exit consequence = blackmail
CA-020,Conversation_Avoidance,Repair_blocked,"I keep asking for five minutes. You say any discussion right now would be flooding you, and flooding causes damage, so the answer is always no.",flooding frame indefinite
BR-001,Blame_Relocation,Blame_reversed,"You cheated. When I found out and cried, you said my emotional reaction was manipulative and you felt unsafe with my intensity, and that's why you pulled away in the first place.",affair + victim reaction blamed
BR-002,Blame_Relocation,Blame_reversed,"You lied about where you were. When I confronted you with proof, you said the real issue is that I don't trust you, and my lack of trust is what's damaging the relationship.",lie + trust issue reversal
BR-003,Blame_Relocation,Blame_reversed,"You yelled at me in front of friends. When I said that hurt, you said I embarrassed you by being hurt publicly, so actually I'm the one who owes an apology.",public humiliation reversed
BR-004,Blame_Relocation,Blame_reversed,"You broke a clear boundary we agreed on. When I brought it up you said my tone when bringing it up was aggressive, and that's the real boundary violation we need to address.",boundary break + tone reversal
BR-005,Blame_Relocation,Blame_reversed,"You didn't show up to my surgery. When I said I felt abandoned you said I was guilt-tripping you and emotional manipulation is a form of abuse.",abandonment + guilt-trip reversal
BR-006,Blame_Relocation,Blame_reversed,"You spent our joint savings without asking. When I found out you said my financial anxiety is controlling and I need to work on my scarcity mindset.",financial betrayal + anxiety blamed
BR-007,Blame_Relocation,Blame_reversed,"You shared something private I told you in confidence. When I was upset you said my reaction shows I have trust issues I need to heal.",privacy violation + trust issues reversal
BR-008,Blame_Relocation,Blame_reversed,"You called me a name during an argument. When I said that was unacceptable you said I provoked you with my facial expression, so we're both responsible.",verbal abuse + provocation reversal
BR-009,Blame_Relocation,Blame_reversed,"You flirted openly with someone at a party while I watched. When I brought it up later you said my jealousy is insecure attachment and I should work on that.",infidelity behavior + jealousy pathologized
BR-010,Blame_Relocation,Blame_reversed,"You ghosted me for three days after a fight. When you came back and I was upset, you said my need for contact is anxious attachment and it's smothering.",stonewalling + attachment blamed
BR-011,Blame_Relocation,Blame_reversed,"You made a decision affecting both of us without asking me. When I objected you said my need to be consulted is a control issue.",unilateral decision + control reversal
BR-012,Blame_Relocation,Blame_reversed,"You were late to my important event, again. When I expressed disappointment you said my expectations are unrealistic and that's a me problem.",repeated lateness + expectations blamed
BR-013,Blame_Relocation,Blame_reversed,"You read my private messages. When I found out you said if I had nothing to hide I wouldn't be upset, so my reaction proves I was hiding something.",privacy violation + suspicion reversal
BR-014,Blame_Relocation,Blame_reversed,"You promised to quit and didn't. When I confronted you you said my monitoring is codependent and that's the real addiction in this relationship.",broken sobriety promise + codependency reversal
BR-015,Blame_Relocation,Blame_reversed,"You badmouthed me to mutual friends. When I heard and confronted you, you said I must have been talking about you first, otherwise how would they know to ask.",smear campaign + preemptive blame
BR-016,Blame_Relocation,Blame_reversed,"You hit me. When I said that was assault you said I hit you first emotionally with my words, so we're both abusive.",physical violence + emotional abuse equivalence
BR-017,Blame_Relocation,Blame_reversed,"You took credit for my work. When I raised it you said I was being territorial and not a team player, which is why people don't want to work with me.",credit theft + teamwork reversal
BR-018,Blame_Relocation,Blame_reversed,"You canceled our plans last minute for the fifth time. When I was frustrated you said my disappointment is me trying to control your schedule.",repeated cancellation + control reversal
BR-019,Blame_Relocation,Blame_reversed,"You lied on a legal document that affected me. When caught you said I pressured you into it with my expectations, so it's actually my fault.",fraud + pressure reversal
BR-020,Blame_Relocation,Blame_reversed,"You screamed at me for an hour. When I said that was abusive you said I stonewalled you first by going quiet, so I escalated it.",verbal abuse + stonewalling equivalence
RD-001,Reality_Dissolution,Facts_dissolved,"I showed you the text messages proving you said you'd be there. You said that's my interpretation of the messages, and you experienced the conversation completely differently.",text evidence dissolved
RD-002,Reality_Dissolution,Facts_dissolved,"I have bank statements showing the money is gone. You said money is just energy and we're experiencing financial reality differently, and my version isn't more true than yours.",financial records dissolved
RD-003,Reality_Dissolution,Facts_dissolved,"Three people saw what you did. You said that's their perception filtered through their own trauma, and perception isn't reality.",witness testimony dissolved
RD-004,Reality_Dissolution,Facts_dissolved,"I recorded the conversation where you agreed. You said recording someone without enthusiastic consent violates your reality and makes the recording invalid.",recorded agreement dissolved
RD-005,Reality_Dissolution,Facts_dissolved,"The timestamp shows you were there. You said timestamps are a linear construct and your nervous system experienced it at a different time.",timestamp dissolved
RD-006,Reality_Dissolution,Facts_dissolved,"You said X on Tuesday, I have it in writing. On Thursday you said you never said that. When I showed the screenshot you said I was overwriting your reality by insisting on a single version.",written proof = reality overwriting
RD-007,Reality_Dissolution,Facts_dissolved,"You promised Y in front of our therapist. Next session you denied promising it. When the therapist confirmed, you said the therapist is colluding with my narrative.",therapist witness dissolved
RD-008,Reality_Dissolution,Facts_dissolved,"The contract says Z clearly. You said contracts are just one story about what happened, and your lived experience tells a different story.",contract dissolved to narrative
RD-009,Reality_Dissolution,Facts_dissolved,"I have photos. You said photos capture a moment out of context and don't reflect the felt sense of what was actually happening.",photographic evidence dissolved
RD-010,Reality_Dissolution,Facts_dissolved,"The email thread shows you agreed to the terms. You said email tone is easily misread and your internal experience of that exchange was completely different.",email evidence = misread tone
RD-011,Reality_Dissolution,Facts_dissolved,"You admitted it last week. This week you say you never admitted that, I must be misremembering, and have I considered that my memory might be the problem.",admission retracted + memory questioned
RD-012,Reality_Dissolution,Facts_dissolved,"The security camera shows what happened. You said cameras have a perspective too, and your embodied experience is equally valid data.",video evidence relativized
RD-013,Reality_Dissolution,Facts_dissolved,"You sent the message at 2:14am, I have the logs. You said time is a construct and you don't relate to linear accountability frameworks.",digital logs dissolved
RD-014,Reality_Dissolution,Facts_dissolved,"Five separate people told me the same thing about what you did. You said that's groupthink and collective perception doesn't equal truth.",multiple witnesses = groupthink
RD-015,Reality_Dissolution,Facts_dissolved,"You signed the agreement. Now you say you signed under duress from my energy, so the signature doesn't reflect your true consent, and therefore the agreement isn't real.",signed agreement = coerced consent
RD-016,Reality_Dissolution,Facts_dissolved,"The medical report documents the injury. You said medical frameworks are patriarchal and don't capture the full relational context, so the report is one biased narrative.",medical evidence dissolved
RD-017,Reality_Dissolution,Facts_dissolved,"You texted 'yes I'll do it.' Later you said 'yes' meant 'yes I hear you,' not 'yes I'll do it,' and I'm projecting my own meaning onto your words.",explicit confirmation reinterpreted
RD-018,Reality_Dissolution,Facts_dissolved,"I have the receipts showing you bought it. You said financial transactions exist in a capitalist reality tunnel that doesn't apply to how you actually relate to shared resources.",receipts = capitalist construct
RD-019,Reality_Dissolution,Facts_dissolved,"You said it in a voicemail, I saved it. You said voicemails lack full somatic context and can't be used as evidence of what you meant.",voicemail = missing context
RD-020,Reality_Dissolution,Facts_dissolved,"The court order says clearly what you must do. You said legal language is a colonial framework and your personal truth supersedes that document.",court order dissolved
LC-001,Label_Capture,Label_authority,"I asked you to stop being late. You said your therapist diagnosed you with time blindness related to neurodivergence, so holding you to arrival times is ableist and you won't discuss it further.",neurodivergence label blocks accountability
LC-002,Label_Capture,Consequence_removed,"I said I'd leave if you hit me again. You said threatening to leave someone with abandonment trauma is abusive, so actually I'm the abuser for having that boundary.",abandonment trauma blocks consequence
LC-003,Label_Capture,Label_authority,"I asked you to do your share of housework. You said you have pathological demand avoidance, so any request is a demand that causes you distress, and distressing a disabled person is discrimination.",PDA label removes all expectations
LC-004,Label_Capture,Consequence_removed,"I said I need an apology for what you said. You said forced apologies are coercive and violate your autonomy as a trauma survivor, so requiring one is retraumatizing you.",trauma survivor label blocks apology
LC-005,Label_Capture,Label_authority,"I brought up the lie. You said I was activating your rejection-sensitive dysphoria and I need to manage my delivery so I don't trigger your RSD, otherwise the conversation can't continue.",RSD label controls conversation terms
LC-006,Label_Capture,Consequence_removed,"I said I'd tell your boss about the harassment if it continues. You said reporting a neurodivergent person is disability discrimination and you'd countersue.",neurodivergence label blocks reporting
LC-007,Label_Capture,Label_authority,"I asked you to stop interrupting me. You said interrupting is part of your ADHD and asking me to mask is neurotypical supremacy.",ADHD label blocks basic courtesy
LC-008,Label_Capture,Consequence_removed,"I said I'd break up if you cheat again. You said ultimatums trigger your attachment trauma and giving ultimatums to a traumatized person is emotional abuse.",attachment trauma blocks boundaries
LC-009,Label_Capture,Label_authority,"I asked where you were last night. You said questioning your whereabouts is surveillance and surveillance is a trauma trigger, so I'm not allowed to ask.",trauma trigger label blocks basic questions
LC-010,Label_Capture,Consequence_removed,"I said I'd call the police if you break in again. You said involving police against a mentally ill person is criminalizing mental illness.",mental illness label blocks legal consequence
LC-011,Label_Capture,Label_authority,"I asked you to stop drinking around the kids. You said my concern is actually control masked as concern, which is a form of coercive control, so I'm the abusive one.",concern = coercive control reversal
LC-012,Label_Capture,Consequence_removed,"I said I'd divorce you if you hit me again. You said threatening divorce is financial abuse because I'd be destabilizing your housing security as a disabled person.",disability label blocks exit consequence
LC-013,Label_Capture,Label_authority,"I asked you to get a job. You said pressuring someone with executive dysfunction and burnout is ableist productivity coercion.",executive dysfunction blocks employment expectation
LC-014,Label_Capture,Consequence_removed,"I said I'd go no-contact if you keep lying. You said cutting off a family member with BPD is abandonment abuse and I'd be responsible for any self-harm.",BPD label blocks no-contact consequence
LC-015,Label_Capture,Label_authority,"I asked you to stop yelling. You said telling an autistic person to regulate their tone is tone policing and a form of neurotypical violence.",autism label blocks tone request
LC-016,Label_Capture,Consequence_removed,"I said I'd sue for the money you stole. You said suing someone with CPTSD is re-traumatization and the court would see that as vexatious litigation.",CPTSD label blocks legal remedy
LC-017,Label_Capture,Label_authority,"I asked you to stop flirting with my friends. You said monogamy expectations are rooted in patriarchal control and my jealousy is internalized oppression I need to heal.",polyamory frame blocks fidelity expectation
LC-018,Label_Capture,Consequence_removed,"I said I'd tell people what you did if you keep denying it. You said threatening to expose someone's mental health struggles is stigma-based blackmail.",mental health stigma label blocks truth-telling
LC-019,Label_Capture,Label_authority,"I asked you to stop using my things without asking. You said property boundaries are a capitalist construct and my attachment to objects is something I should explore in therapy.",anti-capitalist frame blocks property boundaries
LC-020,Label_Capture,Consequence_removed,"I said I'd break the lease and leave if you don't stop. You said leaving a housing-insecure neurodivergent person is disability-based housing discrimination.",housing insecurity label blocks exit
